Id,Code,City Name,City Abbr,Longitude,Latitude.City PinYin
1252,A,安平,AP,115.519627,38.233511,anping
608,A,安新,AX,115.935638,38.935349,anxin
1216,A,安国,AG,115.33141,38.421367,anguo
1321,A,安泽,AZ,112.251372,36.146032,anze
1398,A,阿尔山,AES,119.943656,47.177,aershan
1405,A,阿巴嘎旗,ABGQ,114.970618,44.022728,abagaqi
1415,A,阿拉善盟,ALSM,105.706422,38.844814,alashanmeng
1416,A,阿拉善左旗,ALSZQ,105.705529,38.844842,alashanzuoqi
1417,A,阿拉善右旗,ALSYQ,101.671984,39.21159,alashanyouqi
1169,A,阿荣旗,ARQ,123.464615,48.130503,arongqi
1350,A,阿鲁科尔沁旗,ALKEQQ,120.094969,43.87877,alukeerqinqi
1358,A,敖汉旗,AHQ,119.906486,42.287012,aohanqi
96,A,鞍山,AS,122.994598,41.107769,anshan
1463,A,安图,AT,128.901865,43.110994,antu
1510,A,安达,AD,125.329926,46.410614,anda
1105,A,安吉,AJ,119.68219,30.638241,anji
70,A,安庆,AQ,117.063538,30.54294,anqing
499,A,安溪,AX,118.186852,25.055441,anxi
1573,A,安义,AY,115.553109,28.841334,anyi
1589,A,安远,AY,115.392328,25.134591,anyuan
1600,A,安福,AF,114.61384,27.382746,anfu
963,A,安丘,AQ,119.217842,36.47842,anqiu
261,A,安阳,AY,114.393097,36.09771,anyang
1648,A,安阳,AY,114.130207,36.130585,anyang
729,A,安陆,AL,113.689133,31.255541,anlu
770,A,安化,AH,111.213028,28.374281,anhua
796,A,安乡,AX,112.170959,29.411421,anxiang
801,A,安仁,AR,113.269478,26.709419,anren
1032,A,安岳,AY,105.335373,30.09733,anyue
1905,A,阿坝藏族羌族自治州,ABZZQZZZZ,102.221374,31.899792,abazangzuqiangzuzizhizhou
1916,A,阿坝,AB,101.700985,32.904223,aba
273,A,安顺,AS,105.946198,26.25367,anshun
1993,A,安龙,AL,105.469066,25.106426,anlong
257,A,安宁,AN,102.477997,24.91954,anning
2139,A,昂仁,AR,87.23578,29.294758,angren
2181,A,安多,AD,91.681879,32.260299,anduo
2188,A,阿里地区,ALDQ,81.1454,30.40051,alidiqu
272,A,安康,AK,109.02932,32.68486,ankang
2241,A,安塞,AS,109.325341,36.86441,ansai
2313,A,阿克塞哈萨克族自治县,AKSHSKZZZX,94.337642,39.631642,akesaihasakezuzizhixian
327,A,阿拉尔,ALE,81.28067,40.547981,alaer
2434,A,阿拉山口,ALSK,82.567941,45.170047,alashankou
2446,A,阿克苏地区,AKSDQ,80.265068,41.170712,akesudiqu
1057,A,阿克苏,AKS,80.26338,41.16763,akesu
2452,A,阿瓦提,AWT,80.378426,40.638422,awati
2455,A,阿图什,ATS,76.173939,39.712898,atushi
2456,A,阿克陶,AKT,75.945159,39.147079,aketao
2457,A,阿合奇,AHQ,78.450164,40.937567,aheqi
2498,A,阿勒泰地区,ALTDQ,88.13963,47.848393,aletaidiqu
2499,A,阿勒泰,ALT,88.138743,47.848911,aletai
216,A,澳门,AM,113.54303,22.186834,aomen
1179,C,昌黎,CL,119.164541,39.709729,changli
1228,C,赤城,CC,115.832708,40.912081,chicheng
592,C,磁县,CX,114.373917,36.373959,cixian
1183,C,成安,CA,114.691844,36.442998,chengan
172,C,承德,CD,117.963402,40.9515,chengde
1230,C,承德,CD,118.172496,40.768637,chengde
175,C,沧州,CZ,116.838692,38.304409,cangzhou
1238,C,沧县,CX,116.991316,38.170161,cangxian
237,C,长治,CZ,113.116493,36.195808,changzhi
1272,C,长治,CZ,113.056679,36.052438,changzhi
1392,C,察哈尔右翼前旗,CHEYYQQ,113.211958,40.786859,chahaeryouyiqianqi
1393,C,察哈尔右翼中旗,CHEYYZQ,112.633563,41.274212,chahaeryouyizhongqi
1394,C,察哈尔右翼后旗,CHEYYHQ,113.1906,41.447213,chahaeryouyihouqi
1375,C,陈巴尔虎旗,CBEHQ,119.437609,49.328422,chenbaerhuqi
337,C,赤峰,CF,118.888939,42.258598,chifeng
1421,C,长海,CH,122.587824,39.272399,changhai
911,C,昌图,CT,124.110924,42.786129,changtu
360,C,朝阳,CY,120.450798,41.573471,chaoyang
1440,C,朝阳,CY,120.404217,41.526342,chaoyang
812,C,长岭,CL,123.9673,44.275909,changling
12,C,长春,CC,125.32357,43.816021,changchun
1453,C,长白朝鲜族自治县,CZBCXZZZX,128.203384,41.419361,changbaichaoxianzuzizhixian
1010,C,崇明,CM,121.397301,31.6229,chongming
355,C,常熟,CS,120.752373,31.65382,changshu
59,C,常州,CZ,119.973648,31.81072,changzhou
1080,C,苍南,CN,120.426308,27.517429,cangnan
1096,C,长兴,CX,119.91011,31.02663,changxing
1168,C,常山,CS,118.521654,28.900039,changshan
1075,C,慈溪,CX,121.266472,30.16964,cixi
1118,C,淳安,CA,119.041878,29.608521,chunan
482,C,长丰,CF,117.167664,32.477959,changfeng
238,C,巢湖,CH,117.889374,31.623289,chaohu
83,C,滁州,CZ,118.316833,32.301811,chuzhou
246,C,池州,CZ,117.491417,30.66469,chizhou
1158,C,长泰,CT,117.759483,24.625799,changtai
514,C,长汀,CT,116.357651,25.833481,changting
1576,C,柴桑,CS,115.892977,29.610264,chaisang
1588,C,崇义,CY,114.307348,25.687911,chongyi
1611,C,崇仁,CR,116.059109,27.760907,chongren
959,C,昌邑,CY,119.398621,36.858841,changyi
962,C,昌乐,CL,118.829842,36.70702,changle
1629,C,长岛,CD,120.738345,37.916194,changdao
979,C,茌平,CP,116.255219,36.580681,chiping
931,C,曹县,CX,115.542137,34.825531,caoxian
982,C,成武,CW,115.889641,34.95245,chengwu
636,C,长垣,CY,114.668861,35.200489,changyuan
641,C,长葛,CG,113.768272,34.216721,changge
1682,C,长阳土家族自治县,CYTJZZZX,111.198475,30.466534,changyangtujiazuzizhixian
